Date,Nom de l'entraînement,Durée,Nom de l'exercice,Ordre de la série,Poids,Réps,Distance,Secondes,RPE
2026-04-08 12:57:57,"Entraînement du midi",9min,"Pec Deck (Machine)",1,32.0,10.0,0,0.0,
2026-04-08 12:57:57,"Entraînement du midi",9min,"Pec Deck (Machine)",2,36.0,10.0,0,0.0,
2026-04-08 12:57:57,"Entraînement du midi",9min,"Pec Deck (Machine)",3,41.0,10.0,0,0.0,
2026-04-08 12:57:57,"Entraînement du midi",9min,"Pec Deck (Machine)",4,45.0,10.0,0,0.0,
2026-04-08 12:57:57,"Entraînement du midi",9min,"Pec Deck (Machine)",5,54.0,10.0,0,0.0,
2026-04-08 12:57:57,"Entraînement du midi",9min,"Pec Deck (Machine)",6,63.0,10.0,0,0.0,
2026-04-08 12:57:57,"Entraînement du midi",9min,"Seated Row (Cable)",1,23.0,10.0,0,0.0,
2026-04-08 12:57:57,"Entraînement du midi",9min,"Seated Row (Cable)",2,27.0,10.0,0,0.0,
2026-04-08 12:57:57,"Entraînement du midi",9min,"Seated Row (Cable)",3,32.0,10.0,0,0.0,
2026-04-08 12:57:57,"Entraînement du midi",9min,"Seated Row (Cable)",4,36.0,10.0,0,0.0,
2026-04-08 12:57:57,"Entraînement du midi",9min,"Seated Row (Cable)",5,41.0,10.0,0,0.0,
2026-04-08 12:57:57,"Entraînement du midi",9min,"Chest Press (Machine)",1,27.0,10.0,0,0.0,
2026-04-08 12:57:57,"Entraînement du midi",9min,"Chest Press (Machine)",2,32.0,10.0,0,0.0,
2026-04-08 12:57:57,"Entraînement du midi",9min,"Chest Press (Machine)",3,36.0,10.0,0,0.0,
2026-04-08 12:57:57,"Entraînement du midi",9min,"Chest Press (Machine)",4,41.0,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Pec Deck (Machine)",1,41.0,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Pec Deck (Machine)",2,45.0,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Pec Deck (Machine)",3,54.0,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Pec Deck (Machine)",4,63.0,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Pec Deck (Machine)",5,72.0,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Seated Row (Cable)",1,27.0,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Seated Row (Cable)",2,32.0,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Seated Row (Cable)",3,36.0,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Seated Row (Cable)",4,41.0,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Seated Row (Cable)",5,45.0,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Chest Press (Machine)",1,36.0,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Chest Press (Machine)",2,41.0,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Chest Press (Machine)",3,45.0,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Chest Press (Machine)",4,41.0,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Chest Press (Machine)",5,36.0,101.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Lat Pulldown (Cable)",1,18.0,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Lat Pulldown (Cable)",2,23.0,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Lat Pulldown (Cable)",3,29.0,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Lat Pulldown (Cable)",4,36.0,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Lat Pulldown (Cable)",5,43.0,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Triceps Extension",1,6.8,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Triceps Extension",2,9.1,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Triceps Extension",3,11.3,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Triceps Extension",4,13.6,10.0,0,0.0,
2026-04-10 11:26:43,"Entraînement du midi",32min,"Triceps Extension",5,16.9,6.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Pec Deck (Machine)",1,41.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Pec Deck (Machine)",2,45.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Pec Deck (Machine)",3,54.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Pec Deck (Machine)",4,63.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Pec Deck (Machine)",5,72.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Seated Row (Cable)",1,27.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Seated Row (Cable)",2,32.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Seated Row (Cable)",3,36.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Seated Row (Cable)",4,41.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Seated Row (Cable)",5,45.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Chest Press (Machine)",1,36.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Chest Press (Machine)",2,41.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Chest Press (Machine)",3,45.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Chest Press (Machine)",4,41.0,10.0,0,0.0,
2026-04-12 15:23:34,"Entraînement du midi",34min,"Chest Press (Machine)",5,36.0,101.0,0,0.0,
